"title","revenue","rental_rate","count"
"Minority Kiss",27.89,0.99,12
"Dragon Squad",27.89,0.99,11
"Mob Duffel",27.90,0.99,10
"Dolls Rage",27.92,2.99,8
"Papi Necklace",27.93,0.99,7
"Squad Fish",27.93,2.99,7
"Antitrust Tomatoes",27.93,2.99,7
"Informer Double",27.95,4.99,5
"Shepherd Midsummer",28.77,0.99,23
"Celebrity Horn",28.79,0.99,21
"Louisiana Harry",28.84,0.99,16
"Dances None",28.87,0.99,13
"Tootsie Pilot",28.88,0.99,12
"Jeopardy Encino",28.90,0.99,10
"Won Dares",28.91,2.99,9
"Chitty Lock",28.92,2.99,8
"Dwarfs Alter",28.92,2.99,8
"Luke Mummy",28.93,2.99,7
"Untouchables Sunrise",28.93,2.99,7
"Cowboy Doom",28.93,2.99,7
"Chill Luck",29.79,0.99,21
"Blade Polish",29.81,0.99,20
"Roxanne Rebel",29.83,0.99,17
"Side Ark",29.88,0.99,12
"Santa Paris",29.90,2.99,10
"Uptown Young",29.90,2.99,10
"Wisdom Worker",29.91,0.99,9
"Reservoir Adaptation",29.91,2.99,9
"Halloween Nuts",29.92,2.99,8
"Gone Trouble",29.92,2.99,8
"Alamo Videotape",30.78,0.99,22
"Gun Bonnie",30.79,0.99,21
"Alter Victory",30.80,0.99,20
"Cheaper Clyde",30.83,0.99,17
"Mars Roman",30.83,0.99,17
"Factory Dragon",30.85,0.99,15
"Theory Mermaid",30.88,0.99,11
"Mulan Moon",30.89,0.99,11
"Jumanji Blade",30.92,2.99,8
"Blood Argonauts",30.93,0.99,7
"Seven Swarm",30.95,4.99,5
"Feud Frogmen",31.80,0.99,20
"Congeniality Quest",31.81,0.99,19
"Chainsaw Uptown",31.81,0.99,19
"Outbreak Divine",31.82,0.99,18
"Voice Peach",31.83,0.99,17
"Bonnie Holocaust",31.85,0.99,15
"Rings Heartbreakers",31.87,0.99,13
"Natural Stock",31.88,0.99,12
"Song Hedwig",31.90,0.99,10
"Mighty Luck",31.90,2.99,10
"Hedwig Alter",31.90,2.99,10
"Random Go",31.91,2.99,9
"Feathers Metal",31.91,0.99,9
"Destination Jerk",31.92,0.99,8
"Saints Bride",31.92,2.99,8
"Haunted Antitrust",31.94,4.99,6
"Control Anthem",31.94,4.99,6
"Desperate Trainspotting",31.94,4.99,6
"Dozen Lion",31.94,4.99,6
"Amadeus Holy",32.80,0.99,20
"Volcano Texas",32.81,0.99,19
"Stampede Disturbing",32.86,0.99,14
"Summer Scarface",32.86,0.99,14
"Robbery Bright",32.88,0.99,12
"Saddle Antitrust",32.89,2.99,11
"Maker Gables",32.90,0.99,10
"Lucky Flying",32.90,2.99,10
"Stone Fire",32.90,0.99,10
"Bulworth Commandments",32.93,2.99,7
"Tequila Past",32.94,4.99,6
"Heavenly Gun",32.94,4.99,6
"Wind Phantom",33.79,0.99,21
"Academy Dinosaur",33.79,0.99,21
"Lion Uncut",33.83,0.99,17
"Watch Tracy",33.85,0.99,15
"Splash Gump",33.86,0.99,14
"Mile Mulan",33.89,0.99,11
"Blanket Beverly",33.90,2.99,10
"Maguire Apache",33.91,2.99,9
"Wagon Jaws",33.91,2.99,9
"Cranes Reservoir",33.91,2.99,9
"Fever Empire",33.95,4.99,5
"Talented Homicide",34.76,0.99,24
"Earth Vision",34.77,0.99,23
"Curtain Videotape",34.77,0.99,24
"Carrie Bunch",34.77,0.99,23
"Independence Hotel",34.82,0.99,18
"Taxi Kick",34.83,0.99,17
"Donnie Alley",34.87,0.99,13
"Illusion Amelie",34.87,0.99,13
"Adaptation Holes",34.89,2.99,11
"Magnolia Forrester",34.89,0.99,11
"Elf Murder",34.94,4.99,6
"Story Side",35.74,0.99,26
"Moon Bunch",35.74,0.99,26
"Fantasy Troopers",35.79,0.99,21
"Glass Dying",35.88,0.99,12
"School Jacket",35.94,4.99,6
"Bubble Grosse",35.94,4.99,6
"President Bang",35.94,4.99,6
"Frontier Cabin",35.94,4.99,6
"Primary Glass",36.73,0.99,27
"Westward Seabiscuit",36.75,0.99,25
"Shootist Superfly",36.77,0.99,23
"Intrigue Worst",36.81,0.99,19
"Insects Stone",36.81,0.99,18
"Sundance Invasion",36.82,0.99,18
"Majestic Floats",36.85,0.99,15
"Necklace Outbreak",36.86,0.99,14
"Army Flintstones",36.86,0.99,14
"Drumline Cyclone",36.90,0.99,10
"Elizabeth Shane",36.93,4.99,7
"Soldiers Evolution",36.93,4.99,7
"Early Home",36.94,4.99,6
"Alaska Phantom",37.77,0.99,23
"Caper Motions",37.77,0.99,23
"Coast Rainbow",37.82,0.99,18
"Joon Northwest",37.84,0.99,16
"Roots Remember",37.86,0.99,14
"Shrek License",37.88,2.99,12
"Prix Undefeated",37.90,2.99,10
"Snatchers Montezuma",37.91,2.99,9
"Godfather Diary",37.92,2.99,8
"Vertigo Northwest",37.92,2.99,8
"Life Twisted",37.92,2.99,8
"Graceland Dynamite",37.94,4.99,6
"Pianist Outfield",38.78,0.99,21
"Crooked Frogmen",38.79,0.99,21
"Women Dorado",38.81,0.99,20
"Encounters Curtain",38.82,0.99,18
"Club Graffiti",38.82,0.99,17
"Midnight Westward",38.84,0.99,16
"Spiking Element",38.88,2.99,12
"Records Zorro",38.93,4.99,7
"Italian African",38.94,4.99,6
"Mourning Purple",39.81,0.99,19
"Disciple Mother",39.82,0.99,18
"Pajama Jawbreaker",39.86,0.99,14
"Cabin Flash",39.86,0.99,14
"Spinal Rocky",39.87,2.99,13
"Hamlet Wisdom",39.88,2.99,12
"Lord Arizona",39.90,2.99,10
"Rollercoaster Bringing",39.91,2.99,9
"Hollow Jeopardy",39.92,4.99,8
"Legally Secretary",39.92,4.99,8
"Fire Wolves",39.93,4.99,7
"Intolerable Intentions",39.93,4.99,7
"Jersey Sassy",39.94,4.99,6
"Terminator Club",39.94,4.99,6
"Pocus Pulp",40.75,0.99,25
"Splendor Patton",40.79,0.99,21
"Effect Gladiator",40.79,0.99,21
"Banger Pinocchio",40.80,0.99,20
"Tramp Others",40.82,0.99,18
"Groove Fiction",40.83,0.99,17
"Wasteland Divine",40.88,2.99,12
"Paris Weekend",40.88,2.99,12
"Hunting Musketeers",40.88,2.99,12
"Forever Candidate",40.88,2.99,12
"Frida Slipper",40.90,2.99,11
"Grail Frankenstein",40.92,2.99,8
"Platoon Instinct",40.92,4.99,8
"Tarzan Videotape",40.92,2.99,8
"Matrix Snowman",40.92,4.99,8
"Baby Hall",40.93,4.99,7
"Clue Grail",40.93,4.99,7
"Eve Resurrection",40.93,4.99,7
"Armageddon Lost",41.80,0.99,20
"Labyrinth League",41.87,2.99,13
"Date Speed",41.88,0.99,12
"Party Knock",41.88,2.99,12
"Speakeasy Date",41.89,2.99,11
"Breaking Home",41.90,2.99,10
"Hoosiers Birdcage",41.92,2.99,8
"Hotel Happiness",41.92,4.99,8
"Miracle Virtual",41.92,2.99,8
"Punk Divorce",41.93,4.99,7
"Storm Happiness",42.74,0.99,26
"Voyage Legally",42.75,0.99,25
"Kwai Homeward",42.80,0.99,20
"Lock Rear",42.86,2.99,14
"Stock Glass",42.87,2.99,13
"Uncut Suicides",42.87,2.99,13
"Graduate Lord",42.87,2.99,13
"Entrapment Satisfaction",42.87,0.99,13
"Express Lonely",42.88,2.99,12
"Modern Dorado",42.88,0.99,12
"Scissorhands Slums",42.88,2.99,12
"Wars Pluto",42.90,2.99,10
"Run Pacific",42.91,0.99,9
"Ishtar Rocketeer",42.94,4.99,6
"Goldmine Tycoon",43.76,0.99,24
"Pacific Amistad",43.81,0.99,19
"Go Purple",43.83,0.99,17
"United Pilot",43.85,0.99,15
"Freaky Pocus",43.86,2.99,14
"Shanghai Tycoon",43.86,2.99,14
"Personal Ladybugs",43.87,0.99,13
"Cyclone Family",43.87,2.99,14
"Microcosmos Paradise",43.88,2.99,12
"Potluck Mixed",43.90,2.99,10
"Anything Savannah",43.92,2.99,8
"Drop Waterfront",43.92,4.99,8
"Hours Rage",44.82,0.99,18
"Ship Wonderland",44.86,2.99,14
"Speed Suit",44.92,4.99,8
"Darling Breaking",44.92,4.99,8
"Crusade Honey",44.93,2.99,7
"Pirates Roxanne",45.81,0.99,18
"Uprising Uptown",45.87,2.99,13
"Darkness War",45.88,2.99,12
"Bugsy Song",45.91,2.99,9
"Lolita World",45.91,2.99,9
"Casper Dragonfly",45.93,4.99,7
"Clerks Angels",45.94,4.99,6
"Gunfight Moon",46.79,0.99,21
"Newton Labyrinth",46.84,0.99,16
"Indian Love",46.85,0.99,15
"Troopers Metal",46.86,0.99,14
"Caddyshack Jedi",46.86,0.99,14
"Town Ark",46.87,2.99,13
"Shrunk Divine",46.87,2.99,13
"Alley Evolution",46.87,2.99,13
"Stage World",46.90,2.99,10
"Trainspotting Strangers",46.91,4.99,9
"Wonderful Drop",46.92,2.99,8
"Grosse Wonderful",46.92,4.99,8
"Virginian Pluto",47.75,0.99,25
"Haunting Pianist",47.80,0.99,20
"Gables Metropolis",47.83,0.99,17
"Worker Tarzan",47.86,2.99,14
"Dirty Ace",47.87,2.99,13
"Madre Gables",47.87,2.99,13
"African Egg",47.89,2.99,11
"Kramer Chocolate",47.91,2.99,9
"Reds Pocus",47.92,4.99,8
"Sense Greek",47.93,4.99,7
"Slums Duck",48.78,0.99,22
"Sleuth Orient",48.81,0.99,19
"Kick Savannah",48.83,0.99,17
"Rock Instinct",48.83,0.99,17
"Varsity Trip",48.84,2.99,16
"Monster Spartacus",48.86,2.99,14
"Rider Caddyshack",48.89,2.99,11
"Mod Secretary",48.91,4.99,9
"Gosford Donnie",48.92,4.99,8
"Madigan Dorado",48.92,4.99,8
"Park Citizen",48.94,4.99,6
"Dancing Fever",49.76,0.99,24
"Chocolat Harry",49.81,0.99,19
"Novocaine Flight",49.82,0.99,18
"Heaven Freedom",49.85,2.99,15
"Mask Peach",49.86,2.99,14
"Valley Packer",49.88,0.99,12
"Exorcist Sting",49.88,2.99,12
"Handicap Boondock",50.76,0.99,24
"Bound Cheaper",50.76,0.99,24
"Sun Confessions",50.77,0.99,23
"Annie Identity",50.81,0.99,19
"Reunion Witches",50.82,0.99,18
"Window Side",50.89,2.99,11
"Lost Bird",50.90,2.99,10
"Chisum Behavior",50.90,4.99,10
"Iron Moon",50.90,4.99,10
"Karate Moon",51.80,0.99,20
"Anaconda Confessions",51.82,0.99,18
"Rouge Squad",51.84,0.99,16
"Moulin Wake",51.84,0.99,16
"Enough Raging",51.84,2.99,16
"Pilot Hoosiers",51.86,2.99,14
"North Tequila",51.91,4.99,9
"Panic Club",51.93,4.99,7
"Gilmore Boiled",52.76,0.99,24
"Patriot Roman",52.85,2.99,15
"Willow Tracy",52.85,2.99,15
"Shane Darkness",52.87,2.99,13
"Purple Movie",52.88,2.99,12
"Sensibility Rear",52.90,4.99,10
"Right Cranes",52.90,4.99,10
"Doubtfire Labyrinth",52.91,4.99,9
"Vanilla Day",52.91,4.99,9
"Guys Falcon",52.92,4.99,8
"Ace Goldfinger",52.93,4.99,7
"Mockingbird Hollywood",53.78,0.99,22
"Fight Jawbreaker",53.80,0.99,20
"Perfect Groove",53.84,2.99,16
"Jade Bunch",53.85,2.99,15
"Circus Youth",53.86,2.99,14
"Nuts Ties",53.91,4.99,9
"Frisco Forrest",53.91,4.99,9
"Bird Independence",53.91,4.99,9
"Tights Dawn",54.76,0.99,24
"Dalmations Sweden",54.82,0.99,18
"Outfield Massacre",54.82,0.99,18
"Racer Egg",54.83,2.99,17
"Lover Truman",54.91,2.99,9
"Ali Forever",54.91,4.99,9
"Monsoon Cause",54.91,4.99,9
"Magnificent Chitty",54.92,2.99,8
"Straight Hours",55.81,0.99,19
"Greek Everyone",55.83,2.99,17
"Mummy Creatures",55.85,0.99,15
"Analyze Hoosiers",55.86,2.99,14
"Beach Heartbreakers",55.86,2.99,14
"State Wasteland",55.89,2.99,12
"Grapes Fury",56.77,0.99,22
"Double Wrath",56.79,0.99,21
"River Outlaw",56.82,0.99,19
"Cider Desire",56.83,2.99,17
"Boulevard Mob",56.84,0.99,16
"Creatures Shakespeare",56.84,0.99,16
"Turn Star",56.88,2.99,12
"Identity Lover",56.88,2.99,12
"Meet Chocolate",56.89,2.99,11
"Fugitive Maguire",56.89,4.99,11
"Opposite Necklace",56.89,4.99,11
"Massage Image",56.89,2.99,11
"Bowfinger Gables",56.89,4.99,11
"Element Freddy",56.90,4.99,10
"Brannigan Sunrise",56.91,4.99,9
"Fireball Philadelphia",57.81,0.99,19
"Sierra Divide",57.85,0.99,15
"Temple Attraction",57.90,4.99,10
"October Submarine",57.90,4.99,10
"Lambs Cincinatti",57.90,4.99,10
"Hills Neighbors",58.79,0.99,21
"Packer Madigan",58.80,0.99,20
"Chicken Hellfighters",58.81,0.99,19
"Fiction Christmas",58.81,0.99,19
"Doom Dancing",58.83,0.99,17
"Fury Murder",58.83,0.99,17
"Nash Chocolat",58.87,2.99,13
"Sweet Brotherhood",58.89,2.99,11
"Smile Earring",58.90,2.99,10
"Homicide Peach",59.82,2.99,18
"Clones Pinocchio",59.83,2.99,17
"Barefoot Manchurian",59.83,2.99,17
"Honey Ties",59.84,0.99,16
"Nemo Campus",59.86,2.99,14
"Manchurian Curtain",59.86,2.99,14
"Artist Coldblooded",59.86,2.99,14
"Jaws Harry",59.87,2.99,13
"Born Spinal",59.88,4.99,12
"Jingle Sagebrush",59.89,4.99,11
"King Evolution",59.92,4.99,8
"Family Sweet",60.73,0.99,26
"Dynamite Tarzan",60.77,0.99,23
"Sinners Atlantis",60.81,2.99,19
"Earring Instinct",60.83,0.99,17
"Noon Papi",60.85,2.99,15
"Opus Ice",60.90,4.99,10
"Spartacus Cheaper",60.91,4.99,9
"Orange Grapes",61.78,0.99,22
"Divide Monster",61.80,2.99,20
"Excitement Eve",61.80,0.99,20
"Pond Seattle",61.82,2.99,18
"Insider Arizona",61.83,2.99,17
"Alone Trip",61.83,0.99,17
"Wyoming Storm",61.89,4.99,11
"Casualties Encino",61.92,4.99,8
"Loathing Legally",62.74,0.99,26
"Detective Vision",62.76,0.99,24
"Wrong Behavior",62.80,2.99,20
"Lebowski Soldiers",62.82,2.99,18
"Neighbors Charade",62.83,0.99,17
"Driver Annie",62.84,2.99,16
"Reap Unfaithful",62.84,2.99,16
"Gaslight Crusade",62.84,2.99,16
"Potter Connecticut",62.85,2.99,15
"Lovely Jingle",62.87,2.99,13
"Games Bowfinger",62.88,4.99,12
"Champion Flatliners",62.90,4.99,10
"Bill Others",63.82,2.99,18
"Mother Oleander",63.87,0.99,13
"Daddy Pittsburgh",63.89,4.99,11
"Anthem Luke",63.89,4.99,11
"Swarm Gold",64.77,0.99,23
"Divine Resurrection",64.85,2.99,15
"Madison Trap",64.87,2.99,13
"Gunfighter Mussolini",64.89,2.99,11
"Elephant Trojan",64.90,4.99,10
"Fiddler Lost",64.90,4.99,10
"Madness Attacks",65.77,0.99,23
"Snowman Rollercoaster",65.79,0.99,21
"House Dynamite",65.80,2.99,20
"Chariots Conspiracy",65.81,2.99,19
"Lonely Elephant",65.87,2.99,13
"Usual Untouchables",65.88,4.99,12
"War Notting",65.88,4.99,12
"Chamber Italian",65.88,4.99,13
"Stranger Strangers",65.90,4.99,10
"Wonka Sea",66.82,2.99,18
"Pollock Deliverance",66.82,2.99,17
"Egypt Tenenbaums",66.84,0.99,16
"Worst Banger",66.85,2.99,15
"Zoolander Fiction",66.85,2.99,15
"Boiled Dares",66.87,4.99,13
"Charade Duffel",66.87,2.99,13
"Home Pity",66.88,4.99,12
"Dangerous Uptown",66.88,4.99,12
"Past Suicides",66.88,4.99,12
"Twisted Pirates",66.89,4.99,11
"Caribbean Liberty",66.92,4.99,8
"Rugrats Shakespeare",67.72,0.99,28
"Graffiti Love",67.74,0.99,26
"Jumping Wrath",67.79,0.99,21
"Goldfinger Sensibility",67.79,0.99,21
"Dinosaur Secretary",67.81,2.99,19
"Liberty Magnificent",67.89,2.99,11
"Amelie Hellfighters",67.90,4.99,10
"Hobbit Alien",68.74,0.99,26
"Bringing Hysterical",68.81,2.99,19
"Eyes Driving",68.84,2.99,16
"Idaho Love",68.85,2.99,15
"Flight Lies",68.88,4.99,12
"Werewolf Lola",68.88,4.99,12
"Instinct Airport",69.83,2.99,17
"Comforts Rush",69.85,2.99,15
"Vampire Whale",69.89,4.99,11
"Beast Hunchback",69.90,4.99,10
"Daughter Madigan",69.91,4.99,9
"Ties Hunger",69.91,4.99,9
"Mallrats United",70.78,0.99,22
"Amistad Midsummer",70.79,2.99,21
"Others Soup",70.80,2.99,20
"Gentlemen Stage",70.80,2.99,20
"Trouble Date",70.81,2.99,20
"Remember Diary",70.83,2.99,17
"Ferris Mother",70.85,2.99,15
"Confessions Maguire",70.87,4.99,13
"Jeepers Wedding",70.87,2.99,13
"Saturn Name",70.87,4.99,13
"Wedding Apollo",71.79,0.99,21
"Weekend Personal",71.83,2.99,17
"Jacket Frisco",71.84,2.99,16
"Blindness Gun",71.87,4.99,13
"Alabama Devil",71.88,2.99,12
"Cincinatti Whisperer",71.89,4.99,11
"Downhill Enough",72.79,0.99,21
"Berets Agent",72.80,2.99,19
"Hope Tootsie",72.83,2.99,17
"Darko Dorado",72.90,4.99,10
"Half Outfield",73.79,2.99,22
"Dream Pickup",73.80,2.99,20
"Fantasia Park",73.81,2.99,19
"Wait Cider",73.82,0.99,18
"Words Hunter",73.86,2.99,14
"Outlaw Hanky",73.86,4.99,14
"Pluto Oleander",73.87,4.99,13
"Thin Sagebrush",73.89,4.99,11
"California Birds",73.89,4.99,11
"Frost Head",74.72,0.99,28
"Escape Metropolis",74.77,2.99,23
"Crossroads Casualties",74.80,2.99,20
"Flatliners Killer",74.81,2.99,19
"Lust Lock",74.82,2.99,15
"Impossible Prejudice",74.86,4.99,14
"Birch Antitrust",74.89,4.99,11
"Autumn Crow",74.90,4.99,10
"Malkovich Pet",75.77,2.99,23
"Atlantis Cause",75.79,2.99,21
"Blues Instinct",75.82,2.99,18
"Trojan Tomorrow",75.82,2.99,17
"Sons Interview",75.85,2.99,14
"Searchers Wait",75.86,2.99,14
"Holes Brannigan",75.86,4.99,15
"Deep Crusade",75.87,4.99,13
"Connecticut Tramp",75.89,4.99,11
"Moonwalker Fool",75.89,4.99,11
"Island Exorcist",76.77,2.99,23
"Badman Dawn",76.79,2.99,21
"Shakespeare Saddle",76.80,2.99,20
"Unbreakable Karate",76.81,0.99,19
"Sleepy Japanese",76.83,2.99,18
"National Story",76.83,2.99,17
"Baked Cleopatra",76.85,2.99,15
"Grinch Massage",76.86,4.99,14
"Image Princess",76.86,2.99,14
"Lawless Vision",76.86,4.99,15
"Wanda Chamber",76.86,4.99,14
"Model Fish",76.87,4.99,13
"Tuxedo Mile",76.87,2.99,13
"Lose Inch",77.74,0.99,26
"Horror Reign",77.75,0.99,25
"Disturbing Scarface",77.77,2.99,23
"Clash Freddy",77.77,2.99,23
"Harper Dying",77.80,0.99,20
"Quest Mussolini",77.80,2.99,20
"Flying Hook",77.81,2.99,19
"Northwest Polish",77.82,2.99,18
"Creepers Kane",77.87,4.99,13
"Quills Bull",77.87,4.99,13
"Raging Airplane",77.88,4.99,12
"Deer Virginian",78.76,2.99,25
"Tracy Cider",78.76,0.99,24
"Contact Anonymous",78.76,2.99,24
"Blackout Private",78.77,2.99,23
"Murder Antitrust",78.79,2.99,21
"Intentions Empire",78.83,2.99,17
"Jekyll Frogmen",78.84,2.99,16
"Groundhog Uncut",78.86,4.99,14
"Devil Desire",78.86,4.99,14
"Rules Human",78.87,4.99,13
"Submarine Bed",78.87,4.99,13
"Super Wyoming",78.88,4.99,12
"None Spiking",79.75,0.99,25
"Strangelove Desire",79.78,0.99,22
"Paradise Sabrina",79.82,2.99,18
"Carol Texas",79.83,2.99,17
"Bikini Borrowers",79.86,4.99,14
"Betrayed Rear",79.87,4.99,13
"Edge Kissing",79.87,4.99,13
"Operation Operation",80.75,2.99,25
"Wardrobe Phantom",80.77,2.99,23
"Vanishing Rocky",80.83,2.99,17
"Orient Closer",80.83,2.99,17
"Human Graffiti",80.85,2.99,15
"Peach Innocent",80.86,2.99,13
"Dragonfly Strangers",80.86,4.99,14
"Rush Goodfellas",81.72,0.99,28
"Campus Remember",81.83,2.99,17
"Hanover Galaxy",81.86,4.99,14
"Paths Control",81.90,4.99,10
"Hurricane Affair",82.77,2.99,23
"Casablanca Super",82.84,4.99,16
"Airplane Sierra",82.85,4.99,15
"Musketeers Wait",82.85,4.99,15
"Holiday Games",82.85,4.99,15
"Oscar Gold",83.75,2.99,25
"Affair Prejudice",83.79,2.99,21
"Star Operation",83.80,2.99,20
"Forrest Sons",83.83,2.99,17
"Dying Maker",83.85,4.99,15
"Sagebrush Clueless",83.86,2.99,14
"Loser Hustler",83.86,4.99,14
"Panther Reds",83.86,4.99,14
"Pittsburgh Hunchback",83.89,4.99,11
"Married Go",84.74,2.99,26
"Barbarella Streetcar",84.78,2.99,22
"Alien Center",84.80,2.99,20
"Sea Virgin",84.81,2.99,19
"Chicago North",84.85,4.99,15
"Conquerer Nuts",84.87,4.99,13
"Robbers Joon",85.74,2.99,26
"Steers Armageddon",85.85,4.99,15
"Daisy Menagerie",85.86,4.99,14
"Juggler Hardly",86.71,0.99,29
